dog ID, image_name
6000,A*Y6obS6__26oAAAAAAAAAAAAAAQAAAQ.jpg
6000,A*WGFKRoJO-UMAAAAAAAAAAAAACjV1AA.jpg
6001,A*3G3yTa_odWgAAAAAAAAAAAAAAQAAAQ.jpg
6001,A*asf1TJSX2TgAAAAAAAAAAAAACjV1AA.jpg
6002,A*MBWvR4pTGZsAAAAAAAAAAAAAAQAAAQ.jpg
6002,A*SMBqRr1S4-j1WkpEifYM3wAACjV1AA.jpg
6003,A*qg8zR65UnY8AAAAAAAAAAAAACjV1AA.jpg
6003,A*UaWDQLutWTcAAAAAAAAAAAAAAQAAAQ.jpg
6004,A*Q9rSRLOC244AAAAAAAAAAAAAAQAAAQ.jpg
6004,A*Ut2TQqRIE88AAAAAAAAAAAAACjV1AA.jpg
6005,A*lXL8SL8dcMYAAAAAAAAAAAAAAQAAAQ.jpg
6005,A*xNLtSKx6Oo8AAAAAAAAAAAAACjV1AA.jpg
6006,A*cEIWSJjRV3EAAAAAAAAAAAAACjV1AA.jpg
6006,A*QVWkTaRgU_gAAAAAAAAAAAAAAQAAAQ.jpg
6007,A*laN3Sai996gAAAAAAAAAAAAAAQAAAQ.jpg
6007,A*s4E4QKNrYGMAAAAAAAAAAAAACjV1AA.jpg
6008,A*kbhNTKkFLHNnP7NOv-w1uAAACjV1AA.jpg
6008,A*0kDfQYQCqvgAAAAAAAAAAAAAAQAAAQ.jpg
6009,A*-LNVQqsZJbcAAAAAAAAAAAAAAQAAAQ.jpg
6009,A*kV0QTqI7eEIAAAAAAAAAAAAACjV1AA.jpg
6010,A*95MqSbOCu20AAAAAAAAAAAAAAQAAAQ.jpg
6010,A*SUXMSrkXKkQAAAAAAAAAAAAACjV1AA.jpg
6011,A*2t2gRatFfFoAAAAAAAAAAAAAAQAAAQ.jpg
6011,A*M2qMTJ0JULgAAAAAAAAAAAAACjV1AA.jpg
6012,A*oBwMR74ozMYAAAAAAAAAAAAACjV1AA.jpg
6012,A*lYbKR7dX1SAAAAAAAAAAAAAAAQAAAQ.jpg
6013,A*vsw0Sa3qBS8AAAAAAAAAAAAAAQAAAQ.jpg
6013,A*VTvFQKRZfUIAAAAAAAAAAAAACjV1AA.jpg
6014,A*wMTNRa9PqgQAAAAAAAAAAAAAAQAAAQ.jpg
6014,A*62ZETKI9otsAAAAAAAAAAAAACjV1AA.jpg
6015,A*UdajQryHxHkAAAAAAAAAAAAAAQAAAQ.jpg
6015,A*fy-bRbjDEYoAAAAAAAAAAAAACjV1AA.jpg
6016,A*elopTY1q81IAAAAAAAAAAAAAAQAAAQ.jpg
6016,A*fi37Rp3zTNUAAAAAAAAAAAAACjV1AA.jpg
6017,A*6JCNT68ZAgYAAAAAAAAAAAAAAQAAAQ.jpg
6017,A*yoEPQ4N8KPMAAAAAAAAAAAAACjV1AA.jpg
6018,A*KdPtTpVJSAwAAAAAAAAAAAAAAQAAAQ.jpg
6018,A*G4d5RJgdw2MAAAAAAAAAAAAACjV1AA.jpg
6019,A*rCp0T6CKXmoAAAAAAAAAAAAAAQAAAQ.jpg
6019,A*Z_syRZ4UeKwAAAAAAAAAAAAACjV1AA.jpg
6020,A*KPyvT4lz_83ETztJgyjvRAAAAQAAAQ.jpg
6020,A*SnIwQrakxFYAAAAAAAAAAAAACjV1AA.jpg
6021,A*FTUXQ4PYcLYAAAAAAAAAAAAAAQAAAQ.jpg
6021,A*RCARSbtsTJqljo9AquQeTwAACjV1AA.jpg
6022,A*7qw8S6OEVCYAAAAAAAAAAAAAAQAAAQ.jpg
6022,A*1AdjTY8X0EsAAAAAAAAAAAAACjV1AA.jpg
6023,A*Zmw-RbYloZ74otZLuANrXAAAAQAAAQ.jpg
6023,A*JlgbRLOWudEAAAAAAAAAAAAACjV1AA.jpg
6024,A*kcoTRJ98wWkAAAAAAAAAAAAAAQAAAQ.jpg
6024,A*BqjFTLNDPf0AAAAAAAAAAAAACjV1AA.jpg
6025,A*cZ_jT71mkbMAAAAAAAAAAAAAAQAAAQ.jpg
6025,A*oe1ITYzgG4IAAAAAAAAAAAAACjV1AA.jpg
6026,A*V9bMSIPcllMAAAAAAAAAAAAAAQAAAQ.jpg
6026,A*9OGkRYpbCYRSmfNHlIiHfwAACjV1AA.jpg
6027,A*DKfXQpxRPbkAAAAAAAAAAAAAAQAAAQ.jpg
6027,A*ToF3QIbfejwAAAAAAAAAAAAACjV1AA.jpg
6028,A*1XHEQpFgQZ4AAAAAAAAAAAAAAQAAAQ.jpg
6028,A*xk1SRbNMVfIAAAAAAAAAAAAACjV1AA.jpg
6029,A*7xGVR7evbTMAAAAAAAAAAAAAAQAAAQ.jpg
6029,A*ZNu2Rq99Y2sAAAAAAAAAAAAACjV1AA.jpg
6030,A*dGHES5e2Z70AAAAAAAAAAAAAAQAAAQ.jpg
6030,A*me-7SKuO0QMAAAAAAAAAAAAACjV1AA.jpg
6031,A*4FUxR4rikBYAAAAAAAAAAAAAAQAAAQ.jpg
6031,A*SXLlRaJXT9z6CbBIvA56bQAACjV1AA.jpg
6032,A*cgGtQ5sH4JgAAAAAAAAAAAAAAQAAAQ.jpg
6032,A*jwb2R61UUIYAAAAAAAAAAAAACjV1AA.jpg
6033,A*LKcdTJn9Z1gAAAAAAAAAAAAACjV1AA.jpg
6033,A*Y9XPSpJYc0oAAAAAAAAAAAAAAQAAAQ.jpg
6034,A*odM6Q57AG0YAAAAAAAAAAAAAAQAAAQ.jpg
6034,A*SnApQ64TIvcAAAAAAAAAAAAACjV1AA.jpg
6035,A*s5OlSYz9ZnsAAAAAAAAAAAAACjV1AA.jpg
6035,A*eLylSqBpef4AAAAAAAAAAAAACjV1AA.jpg
6036,A*tJgSS791yNUAAAAAAAAAAAAAAQAAAQ.jpg
6036,A*pZ5OS4qW5vsAAAAAAAAAAAAACjV1AA.jpg
6037,A*UcUmTrh3GzkAAAAAAAAAAAAAAQAAAQ.jpg
